Common Name,Scientific Name,Poison Level,Danger Level,Behavior (Agitated),If Attacked,Category,Endemic,Region,Venom Type,Description
Estuarine Crocodile,Crocodylus porosus,Non-Venomous,High,"Becomes highly aggressive, hissing loudly, inflating its body, and thrashing its tail. May perform open-mouthed displays and lunge forward.","Run away as fast as possible in a straight line.  Do not attempt to fight back unless absolutely necessary. If escape is impossible, aim for the eyes and snout.",Reptile (Crocodilian),No,"Widely distributed in coastal lagoons, estuaries, rivers, and sometimes even the open sea, especially around the North, North Western, and Eastern coastal regions.",None,"The Saltwater Crocodile ( *Crocodylus porosus*) is the largest living reptile and a formidable apex predator.  In Sri Lanka, these powerful creatures inhabit a variety of aquatic habitats, from brackish estuaries and mangrove swamps to freshwater rivers.  They are ambush predators, feeding on fish, birds, mammals, and other reptiles.  Their role as apex predators is vital for maintaining the balance of the ecosystem, regulating prey populations, and influencing the structure of the wetland communities they inhabit.  Saltwater crocodiles have a broad snout and powerful jaws, equipped with sharp teeth designed for gripping and tearing flesh. They are known for their exceptional swimming ability and can tolerate both freshwater and saltwater environments."
Mugger Crocodile,Crocodylus palustris,Non-Venomous,High,"Becomes highly aggressive, hissing loudly, inflating its body, and lashing its tail. May lunge or charge towards the perceived threat.","Try to escape the area immediately. If unable to escape, target the eyes and nose to deter the attack.",Amphibian,No,"Throughout the island, particularly in and around rivers, lakes, marshes, and coastal lagoons.",None,"The Mugger Crocodile ( *Crocodylus palustris*) is a large, powerful reptile with a broad snout and thick, heavily armored skin. They are ambush predators, often lurking submerged in water with only their eyes and nostrils exposed, waiting for unsuspecting prey. Their diet consists mainly of fish, birds, mammals, and other reptiles.  As apex predators, Mugger Crocodiles play a crucial role in regulating the populations of their prey species and maintaining the balance of the wetland ecosystems they inhabit. While they are generally shy and avoid human interaction, they can be highly aggressive when threatened or protecting their young."
Indian Rock Python,Python molurus,Non-Venomous,Moderate,"When threatened, it coils tightly, hisses loudly, and may strike.","Back away slowly and do not attempt to handle it. Seek medical attention if bitten, as large pythons can inflict serious wounds.",Snake,No,"Throughout the island, but more common in dry lowlands and coastal regions.",None,"The Indian Rock Python ( *Python molurus*) is a large non-venomous constrictor.  It can reach lengths exceeding 6 meters, with a heavy body covered in patterned scales ranging from brown to yellowish.  They inhabit diverse habitats, including forests, scrublands, and rocky areas near water sources.  As an apex predator, it plays a vital role in regulating prey populations, primarily consisting of rodents, birds, and other mammals.  Although generally shy and retiring, they can be dangerous if provoked or cornered, using their powerful muscles to constrict and suffocate their prey."
Cobra   Spectacled Cobra,Naja naja,Highly Venomous,High,"Raises hood, hisses loudly, and may strike repeatedly.",Seek immediate medical attention. Antivenom is crucial.,Snake,No,"Throughout the island, except at the highest altitudes.",Primarily Neurotoxic,"The Spectacled Cobra (Naja naja) is a large, venomous snake easily identified by the spectacle marking on its hood.  This marking, which resembles eyeglasses, can vary in shape and size depending on the individual.  They are found in a variety of habitats in Sri Lanka from forests and plains to agricultural areas and even near human settlements.  Cobras are primarily nocturnal hunters, feeding on rodents, frogs, lizards, and other snakes, playing a crucial role in controlling rodent populations. They are also known to be opportunistic feeders and occasionally consume birds and eggs. Their neurotoxic venom affects the nervous system, causing paralysis and respiratory failure."
Russell's Viper,Daboia russelii,Highly Venomous,High,"Coils tightly, hisses loudly, and strikes readily with a characteristic ""sizzling"" warning sound.",Seek immediate medical attention.  Immobilize the affected limb and remain calm to slow venom spread. Traditional first aid methods are ineffective and potentially harmful.,Snake,No,"Throughout the island, except at higher elevations.  Most common in the dry zone and lowlands.",Hemotoxic,"Russell's viper is a heavy-bodied, stout snake with a triangular head distinct from its neck.  Its coloration varies from yellowish-brown to brownish-grey, overlaid with three rows of dark brown or black oval-shaped blotches bordered with white or yellow. These markings provide excellent camouflage amongst leaf litter and dry vegetation in its preferred habitats, which include grasslands, scrublands, and agricultural areas.  A primarily nocturnal ambush predator, it feeds on rodents, lizards, and other small mammals, playing a crucial role in controlling rodent populations.  Its potent hemotoxic venom causes severe pain, swelling, and tissue damage, potentially leading to complications such as kidney failure and disseminated intravascular coagulation (DIC)."
Saw-scaled Viper,Echis carinatus,Highly Venomous,High,"Coils tightly, rubs its keeled scales together to produce a loud hissing warning sound.  May strike repeatedly.",Seek immediate medical attention. Immobilize the affected limb and stay calm to slow venom spread.  Traditional first aid methods are not effective.,Snake,Yes,"Dry zone, including North Western, Northern, Eastern, and parts of North Central provinces.",Hemotoxic,"The Saw-scaled Viper ( *Echis carinatus*) is a small but highly venomous viper identifiable by its sandy or light brown coloration, often with darker, chevron-shaped markings.  It prefers arid and semi-arid habitats such as scrublands, rocky outcrops, and coastal regions.  This viper is nocturnal and hunts small rodents, lizards, and other invertebrates, playing a vital role in controlling prey populations within its ecosystem.  Its scales have a distinctly keeled texture, giving it a rough feel.  The saw-scaled viper is responsible for a significant number of snakebite fatalities in Sri Lanka due to its potent hemotoxic venom which causes severe internal bleeding and tissue damage."
Common Krait,Bungarus caeruleus,Highly Venomous,High,"When threatened, the Common Krait typically coils tightly, hides its head, and may whip its tail as a warning. Bites often occur when accidentally stepped on or handled.  They are primarily nocturnal and generally shy.",Seek immediate medical attention.  Traditional first aid methods are largely ineffective against krait venom. Antivenom is crucial for survival.,Snake,Yes,"Throughout the island, except at higher elevations.",Neurotoxic,"The Common Krait ( *Bungarus caeruleus*) is a highly venomous elapid snake found throughout Sri Lanka, excluding the highest altitudes. It is a sleek, nocturnal snake with smooth, glossy scales, generally bluish-black to black in color with thin white crossbands. Kraits inhabit a variety of habitats, including forests, scrublands, agricultural fields, and even human settlements.  They are primarily rodent hunters, playing an important role in controlling rodent populations, but also consume other snakes, lizards, and frogs.  Their potent neurotoxic venom acts primarily on the nervous system, causing paralysis and respiratory failure. Bites are often painless, making them especially dangerous.  They are a significant contributor to snakebite fatalities in Sri Lanka."
Common Bronzeback Tree Snake,Dendrelaphis tristis,Mildly Venomous,Low,"May inflate its neck, try to bite, and release a foul-smelling musk.",Wash the bite thoroughly with soap and water and seek medical attention if symptoms develop.,Snake,Yes,"Throughout the island, including dry lowlands, forests, and even urban areas.",Mild,"The Common Bronzeback Tree Snake ( *Dendrelaphis tristis*) is a slender, diurnal colubrid snake with smooth scales, typically olive-brown or bronze in color, with a lighter underside.  A distinct black stripe runs from behind the eye to the corner of the mouth.  They are highly arboreal, inhabiting a variety of habitats across Sri Lanka, including forests, scrublands, and home gardens. Primarily feeding on lizards and frogs, they play a crucial role in regulating prey populations within their ecosystem. Their venom is mild and poses little threat to humans, though individual reactions can vary.  They are generally non-aggressive but will bite if threatened or cornered."
Green Vine Snake,Ahaetulla nasuta,Mildly Venomous,Low,"Inflates neck region, may strike defensively but rarely bites.",Wash the bite area thoroughly with soap and water. Seek medical attention if any symptoms develop.,Snake,Yes,"Throughout the island, particularly in lowlands and forested areas.","Mild, primarily Hemotoxic","The Green Vine Snake ( *Ahaetulla nasuta*) is a slender, bright green arboreal snake perfectly camouflaged amongst foliage.  Its horizontal pupils and pointed snout are distinctive features.  Found in a variety of habitats from forests to home gardens, it primarily feeds on lizards and frogs, ambushing them with incredible speed. Though mildly venomous, its venom poses little threat to humans and is primarily used to subdue its prey.  This diurnal snake plays a crucial role in controlling lizard and frog populations within its ecosystem."
Rat Snake,Ptyas mucosa,Mildly Venomous,Low,"When threatened, it rears up, flattens its neck slightly (not as dramatically as a cobra), hisses loudly, and may strike.","Move away slowly and allow the snake to escape.  Wash any bite thoroughly with soap and water and seek medical attention, though serious effects are rare.",Snake,No,"Island-wide, including all provinces.",Mild,"The rat snake ( *Ptyas mucosa*) is a large, non-venomous (rear-fanged, mildly venomous) colubrid snake found throughout Sri Lanka in diverse habitats, from forests and grasslands to urban areas. They are diurnal and primarily feed on rodents, lizards, frogs, and birds, playing a crucial role in controlling rodent populations.  These slender, agile snakes are typically olive-brown to yellowish in color, with smooth scales and prominent eyes.  They are excellent climbers and swimmers, often found near water sources. While their bite can cause localized pain and swelling due to their mildly venomous saliva, it poses little threat to humans. They are often confused with cobras due to their defensive posture, but they lack the distinctive hood."
Buff-striped Keelback,Amphiesma stolatum,Mildly Venomous,Low,"May flatten its head and neck, hiss, and strike defensively.",Wash the bite area thoroughly with soap and water. Seek medical attention if symptoms develop.,Snake,No,"Throughout the island, except for higher elevations.","Mild, primarily affecting prey.","The Buff-striped Keelback ( *Amphiesma stolatum* ) is a slender, non-aggressive snake with distinct buff-colored stripes running along its body. It is commonly found in a variety of habitats across Sri Lanka, including grasslands, forests, and wetlands, often near water sources. This diurnal snake primarily feeds on frogs, tadpoles, and small fish, playing a role in controlling their populations. While mildly venomous, its venom poses little threat to humans and is mainly used to subdue its prey.  The Buff-striped Keelback is a relatively common and adaptable species, contributing to the biodiversity of Sri Lanka's ecosystems."
Common Garden Lizard   Oriental Garden Lizard,Calotes versicolor,Non-Venomous,Low,"May inflate throat pouch, display bright colors (especially males), bob head, and try to bite if cornered.",Wash the bite with soap and water. Seek medical attention if any signs of infection develop.,Reptile (Lizard specifically),No,"Throughout the island, including urban areas.",None,"The Oriental Garden Lizard ( *Calotes versicolor*) is a common agamid lizard found across Sri Lanka.  These diurnal reptiles are typically green or brown, with males displaying vibrant colors, particularly during breeding season. Their coloration helps them camouflage in their arboreal habitat, which includes trees, shrubs, and even human dwellings. They play a vital role in the ecosystem by controlling insect populations, consuming a diet primarily of crickets, grasshoppers, and other invertebrates. They are in turn preyed upon by snakes, birds, and larger reptiles.  While their bite can be painful, they are non-venomous and pose little threat to humans."
Green Garden Lizard,Calotes calotes,Non-Venomous,Low,"Inflates its gular pouch, bobs its head, and may try to bite if cornered.",Wash the bite area thoroughly with soap and water. Seek medical advice if any signs of infection appear.,Reptile (Lizard specifically - though this wasn't an option provided),No,"Throughout the island, including urban areas, gardens, and forests.",None,"The Green Garden Lizard ( *Calotes calotes*) is a common agamid lizard found across Sri Lanka.  These diurnal reptiles are typically bright green, though they can change color to shades of brown and yellow, particularly males during breeding season. They possess a prominent spiny crest along their back and a large, inflatable gular pouch.  Green Garden Lizards are primarily insectivores, playing a valuable role in controlling insect populations. They are often seen basking in the sun and are agile climbers, preferring trees, shrubs, and walls as their habitat."
Star Tortoise,Geochelone elegans,Non-Venomous,Low,Withdraws into its shell. May hiss.,Leave it alone; it poses no threat.,"Reptile (technically a Testudine, a sub-order of reptiles)",No (also found in India and Pakistan),"Dry Zone (specifically, North Western, Northern, and parts of Eastern provinces).",None,"The Star Tortoise ( *Geochelone elegans*) is a medium-sized tortoise identified by its striking star-shaped pattern on its high-domed carapace.  These beautiful markings unfortunately make them a target in the illegal pet trade. They inhabit dry scrubland and arid grasslands in Sri Lanka, India, and Pakistan, where they graze on grasses, succulents, and fallen fruits.  As herbivores, they play a role in seed dispersal and contribute to the health of their ecosystem.  They are a threatened species due to habitat loss and illegal collection."
Indian Black Turtle,Melanochelys trijuga,Non-Venomous,Low,"May withdraw into its shell, hiss, or attempt to bite.","Leave it alone; if bitten, wash the wound thoroughly.",Amphibian,No,"Throughout the island, especially in low-lying areas, tanks, and reservoirs.",None,"The Indian Black Turtle (Melanochelys trijuga) is a medium-sized freshwater turtle with a dark brown to black carapace (upper shell) and a yellowish plastron (lower shell).  It inhabits a variety of aquatic environments, including rivers, marshes, and rice paddies across Sri Lanka.  As an omnivore, it feeds on aquatic plants, insects, mollusks, and carrion, playing a vital role in nutrient cycling and controlling invertebrate populations.  While generally docile, they can become defensive if threatened. The Indian Black Turtle is not endemic to Sri Lanka and has a wider distribution across South Asia."
Common Monitor Lizard,Varanus bengalensis,Mildly Venomous,Low,"Hisses, inflates body, whips tail, may bite.","Move away slowly; if bitten, wash the wound thoroughly and seek medical attention due to risk of bacterial infection.","Reptile (While not listed, this is the correct category, as lizards are reptiles)",No,"Throughout the island, including dry zone, forested areas, and urban environments.","Mild, primarily for prey incapacitation; effects on humans are mainly localized pain and swelling.","The Common Monitor Lizard ( *Varanus bengalensis*) is a large reptile found throughout Sri Lanka, inhabiting diverse environments from dry scrublands and forests to urban areas.  They are robust lizards with powerful limbs, sharp claws, and a long, muscular tail used for defense and balance.  Their coloration varies from grayish-brown to black, often with faint bands or spots. These opportunistic carnivores play a vital role in the ecosystem as scavengers and predators, consuming insects, rodents, reptiles, birds, and carrion, helping control pest populations and recycle nutrients. While generally shy and avoidant of humans, they can become defensive if cornered or provoked."
Water Monitor,Varanus salvator,Mildly Venomous,Moderate,"Hisses, inflates its body, whips its tail, and may bite.",Move away slowly and seek medical attention if bitten.  Clean the wound thoroughly with antiseptic soap and water.,"Reptile (While not listed, this is the appropriate category)",Yes,"Throughout the island, including urban areas, but prefers areas close to water.","Mild, primarily for assisting with prey digestion, though bites can cause bacterial infections.","The Water Monitor (Varanus salvator) is a large lizard, often exceeding 6 feet in length, characterized by its robust build, dark gray or black body with yellow spots and bands, and a powerful, long tail. It thrives in a variety of habitats across Sri Lanka, from wetlands and mangroves to forests and even urban areas, always in proximity to water sources.  A skilled swimmer and climber, it plays a crucial role in the ecosystem as an apex predator, consuming carrion, rodents, birds, fish, crabs, and other reptiles, helping to control their populations.  Though not typically aggressive, they can deliver a painful bite if cornered or threatened."
Common Skink,Mabuya carinata,Non-Venomous,Low,"May try to bite, but its bite is harmless to humans.  Will likely try to escape.",No specific action needed. Gently remove if necessary.,"Reptile (specifically, a lizard, but since that option isn't available, none of the available categories are correct.)",No,"Throughout the island, including urban areas.",None,"The Common Skink ( *Mabuya carinata* ) is a small, slender lizard with smooth, shiny scales, often bronze or brown in color with variable stripes or markings. It is commonly found in gardens, urban areas, and a variety of habitats across Sri Lanka, often seen basking in the sun.  These skinks play a vital role in the ecosystem by controlling insect populations, consuming small invertebrates like ants, spiders, and termites. They are in turn preyed upon by larger reptiles, birds, and mammals.  They are generally shy and quick to disappear into crevices or undergrowth when disturbed."
House Gecko,Hemidactylus frenatus,Non-Venomous,Low,"May bite if cornered, but the bite is harmless.  Likely to vocalize with chirping sounds and attempt to escape.",Gently brush the gecko away or allow it to escape on its own.  Wash the area of a bite with soap and water.,Reptile,No,Island-wide,None,"The House Gecko ( *Hemidactylus frenatus* ) is a small, nocturnal reptile commonly found in homes and buildings across Sri Lanka.  They are characterized by their soft, granular skin, adhesive toe pads allowing them to climb vertical surfaces, and large eyes with vertical pupils. Primarily insectivorous, they play a beneficial role in controlling insect populations, including mosquitoes and flies.  House geckos are highly adaptable and thrive in human-modified environments, utilizing cracks, crevices, and wall spaces for shelter.  Their distinctive chirping calls are a familiar night-time sound in Sri Lanka."
Fan-throated Lizard,Sitana ponticeriana,Non-Venomous,Low,"Displays its vibrant throat fan, performs push-ups, and may try to bite if cornered.",Move away slowly.  Their bite is harmless to humans.,Amphibian,Yes,"Dry and intermediate zones throughout the country, including North Western, Northern, Eastern, and parts of Southern and Central provinces.",None,"The Fan-throated Lizard ( *Sitana ponticeriana*) is a small, diurnal lizard known for the male's striking, brightly colored dewlap or throat fan, which it extends during courtship and territorial displays. This fan is typically bright orange, yellow, or red with blue markings. These lizards inhabit dry, open areas with scrub vegetation, and are often found basking on rocks and open ground. They are insectivores, playing a role in controlling insect populations.  The female lacks the vibrant dewlap and is more cryptically colored.  Their small size makes them prey for larger reptiles, birds, and mammals, contributing to the food web in their ecosystem."
Leatherback Sea Turtle,Dermochelys coriacea,Non-Venomous,Low,"May attempt to bite if threatened or restrained, but generally avoids confrontation.",Move away slowly and allow the turtle to return to the ocean.,Reptile (Sea Turtle),No,Coastal waters around the entire island.,None,"The Leatherback Sea Turtle ( *Dermochelys coriacea*) is the largest living turtle, easily recognized by its leathery carapace instead of a hard shell.  They are highly migratory, traversing vast oceans and visiting Sri Lankan waters primarily for breeding and foraging.  Their diet mainly consists of jellyfish, playing a crucial role in controlling jellyfish populations.  Leatherbacks face numerous threats including entanglement in fishing gear and habitat destruction, making them a vulnerable species globally.  They nest on sandy beaches, typically at night, where females lay clutches of eggs."
Green Sea Turtle,Chelonia mydas,Non-Venomous,Low,"May attempt to bite if feeling threatened, especially on land.  Will generally try to escape into the water.",Move away slowly. Do not attempt to handle or restrain.,Reptile,No,Coastal waters around the entire island.,None,"The Green Sea Turtle ( *Chelonia mydas* ) is a large marine reptile with a smooth, heart-shaped carapace that ranges in color from olive to brown.  They are found in tropical and subtropical oceans around the world, including the coastal waters of Sri Lanka.  Green turtles are primarily herbivorous, grazing on seagrass and algae, which helps maintain healthy seagrass beds and contributes to the overall health of the marine ecosystem.  They are threatened by habitat loss, fishing bycatch, and pollution, and are considered endangered globally.  Female green turtles return to the beaches where they were born to lay their eggs."
Olive Ridley Sea Turtle,Lepidochelys olivacea,Non-Venomous,Low,May attempt to bite if feeling threatened or cornered on land. Generally avoids confrontation.,Move away slowly and give the turtle space.  Do not attempt to handle it.,Reptile (Sea Turtle),No,Coastal waters around Sri Lanka,None,"The Olive Ridley sea turtle (Lepidochelys olivacea) is a medium-sized sea turtle characterized by its olive-colored, heart-shaped carapace. They are primarily found in tropical and subtropical waters, including the coastal regions of Sri Lanka. Olive Ridleys are known for their ""arribada"" nesting behavior, where thousands of females come ashore simultaneously to lay eggs.  They are primarily carnivorous, feeding on jellyfish, crustaceans, mollusks, and fish. As a part of the marine ecosystem, they play a role in controlling prey populations and nutrient cycling.  They face threats from habitat destruction, fishing gear entanglement, and pollution."
Sri Lanka Junglefowl,Gallus lafayetii,Non-Venomous,Low,"Males become aggressive, especially during breeding season, displaying upright posture, flapping wings, and loud calls.  Hens can become protective of chicks.","Slowly back away, avoid direct eye contact, and do not make threatening gestures.",Bird,Yes,All regions except the highest altitudes.,None,"The Sri Lanka Junglefowl ( *Gallus lafayetii*) is a vibrant bird and the national bird of Sri Lanka. Males are a striking mix of orange-red, dark purplish-black, and iridescent green-blue plumage, with a prominent red comb and wattles. Females are more subdued, with mottled brown feathers providing excellent camouflage. They inhabit a variety of habitats, from dense forests to scrublands and even urban areas.  Junglefowl are primarily ground-dwelling birds, foraging for seeds, insects, fruits, and small reptiles.  They play a vital role in seed dispersal and insect control within their ecosystem."
Sri Lanka Blue Magpie,Urocissa ornata,Non-Venomous,Low,"Becomes noisy, may swoop or dive at perceived threats, but physical attacks are rare.",Stay calm and move slowly away.  Attacks are extremely uncommon and unlikely to cause significant harm.,Mammal,Yes,"Wet zone forests in the southwest, including the Sinharaja Forest Reserve and the Kitulgala rainforests.",None,"The Sri Lanka Blue Magpie ( *Urocissa ornata*) is a striking, vibrant bird with bright azure-blue plumage, chestnut-brown head and upper back, and a long, graduated tail tipped with white. This endemic species inhabits the dense canopies of Sri Lanka's southwestern rainforests. It plays a vital role in seed dispersal and insect control within its ecosystem.  The Sri Lanka Blue Magpie is a social bird, often seen in small groups or family units, communicating through a variety of calls, including whistles, chattering, and metallic notes. While generally not aggressive, they can become territorial and protective, especially during breeding season."
Sri Lanka Myna,Gracula ptilogenys,Non-Venomous,Low,"May become noisy and flutter wings, attempting to peck if cornered or threatened.",Slowly back away and avoid direct eye contact.,Mammal,Yes,Southwest wet zone,None,"The Sri Lanka Myna ( *Gracula ptilogenys* ) is a glossy black bird with distinct yellow wattles and bare yellow skin patches around the eyes.  It is slightly larger than the common myna and has unique curled ear tufts. Found in the southwestern wet zone of Sri Lanka, this myna inhabits forested areas, including rainforests and adjacent cultivated lands.  It is a highly social bird, living in small flocks and plays a role in seed dispersal within its ecosystem, contributing to forest regeneration.  They are known for their ability to mimic sounds, including human speech."
Sri Lanka Grey Hornbill,Ocyceros gingalensis,Non-Venomous,Low,May give loud calls and fly away. Could peck if cornered.,Move away slowly. Avoid cornering the bird.,Bird,Yes,"Throughout the island, except in higher hills.",None,"The Sri Lanka Grey Hornbill ( *Ocyceros gingalensis* ) is a medium-sized, endemic bird recognizable by its grey plumage, long curved bill, and casque (a growth on the upper mandible).  They are found in a variety of habitats across Sri Lanka, including forests, woodlands, and cultivated areas, but are absent in higher altitudes. These hornbills primarily feed on fruits, contributing to seed dispersal, but also include insects and small vertebrates in their diet.  They play a crucial role in the ecosystem as both seed dispersers and insect controllers.  They are usually found in pairs or small groups, often making loud, cackling calls while perched in trees."
Sri Lanka Wood Pigeon,Columba torringtoniae,Non-Venomous,Low,"May flap wings and coo loudly, attempt to fly away.",Move away slowly.  There is little chance of attack unless handled.,Mammal,Yes,Throughout the island but primarily wet zone forests in the hills and lower montane regions.,None,"The Sri Lanka Wood Pigeon ( *Columba torringtoniae* ) is a large, endemic pigeon of Sri Lanka. It is recognizable by its deep purplish-grey plumage, iridescent green neck patch, and distinctive yellow bill with a reddish base.  This pigeon primarily inhabits the wet zone forests, particularly in hilly and lower montane regions.  It plays a vital role in seed dispersal within its forest habitat.  They are generally shy birds, foraging in the canopy for fruits, buds, and leaves."
Indian Peafowl,Pavo cristatus,Non-Venomous,Low,"May fan out tail feathers, call loudly, and strut aggressively.  Can peck or scratch.","Slowly back away, avoid eye contact, and make yourself appear large.",Bird,No (Introduced),"Throughout the island, especially in drier lowlands and scrublands.",None,"The Indian Peafowl is a large, colorful bird known for the male's extravagant iridescent blue-green tail feathers, which are displayed during courtship.  Females are brownish and less ornate. They inhabit a range of habitats from dry scrublands to forests and agricultural areas, foraging on the ground for seeds, insects, small reptiles, and fruits. Introduced to Sri Lanka, they are now common and play a role in seed dispersal and insect control, but can also cause crop damage in some areas.  They are often seen near human settlements and are considered sacred in some cultures."
Common Mynah,Acridotheres tristis,Non-Venomous,Low,"May become noisy and dive-bomb perceived threats, particularly near nests.",Shield your face and move away slowly.,Mammal,No (introduced),"Throughout the island, especially in urban and agricultural areas.",None,"The Common Myna ( *Acridotheres tristis*) is a medium-sized, brown bird with a black head, yellow beak, and distinctive yellow patches behind the eyes.  It's highly adaptable and thrives in a variety of habitats, from urban parks and gardens to agricultural lands and open woodlands.  An omnivorous bird, it feeds on insects, fruits, seeds, and scraps. Although considered an invasive species in many parts of the world, it plays a role in Sri Lanka's ecosystem as both a predator of insects and a disperser of seeds, while also competing with native species for resources."
House Crow,Corvus splendens,Non-Venomous,Low,"May become noisy and dive-bomb perceived threats, especially near nests.",Shield your head and face and move away quickly.,"Bird (While not a formal option, this is the correct category)",No,"Throughout the island, especially in urban and suburban areas.",None,"The House Crow ( *Corvus splendens*) is a common bird in Sri Lanka, easily recognized by its glossy black plumage with a greyish-brown nape, breast, and belly.  It thrives in human-modified environments, including towns and villages, where it feeds opportunistically on garbage, scraps, and insects. Though generally not a threat to humans, it can become a nuisance due to its scavenging habits, noise, and potential to spread disease.  It plays a role in the ecosystem as a scavenger, cleaning up carrion and other waste, but can also negatively impact native bird populations through competition and predation."
Black-hooded Oriole,Oriolus xanthornus,Non-Venomous,Low,May give loud alarm calls and flit agitatedly from branch to branch.,Unlikely to attack. Simply retreat and leave the bird alone.,Aves (Bird),No,"Widespread throughout the island, including dry lowlands, open woodlands, and cultivated areas.",None,"The Black-hooded Oriole ( *Oriolus xanthornus*) is a striking bird with bright yellow plumage contrasting sharply with its black head, throat, and wings. Its vibrant colours make it a conspicuous presence in the canopy of various habitats across Sri Lanka.  It primarily feeds on fruits, insects, and nectar, playing a role in seed dispersal and insect population control.  Their melodious calls contribute to the soundscape of Sri Lanka's diverse ecosystems. They build intricately woven nests suspended from tree branches.  While not endemic to Sri Lanka, it is a resident breeder throughout the island and a common sight."
White-throated Kingfisher,Halcyon smyrnensis,Non-Venomous,Low,"May become vocal, puff up feathers, and dive at perceived threats.",Move away slowly. Attacks are rare and typically only occur when defending a nest.,Bird (specifically Kingfisher),No,"Throughout the island, common near water bodies.",None,"The White-throated Kingfisher ( *Halcyon smyrnensis* ) is a brightly colored bird with a characteristic bright blue back, wings, and tail, a white throat and breast, and a chestnut-colored belly.  They are found throughout Sri Lanka near various water bodies, from coastal regions to inland reservoirs and rivers.  Primarily fish-eaters, they also consume crustaceans, insects, and small amphibians.  They play an important role in controlling aquatic invertebrate and small vertebrate populations, and their striking appearance contributes to the biodiversity and beauty of Sri Lanka's avifauna. They typically nest in burrows dug into riverbanks or earth mounds."
Pied Kingfisher,Ceryle rudis,Non-Venomous,Low,"May become vocal and dive aggressively if nest is threatened, but generally avoids humans.",Move away slowly. Attacks are extremely rare and only occur if the nest is directly threatened.,"Bird (Note: while the provided categories don't include bird, this is the correct categorization)",No,"Widespread throughout the island, especially near water bodies.",None,"The Pied Kingfisher ( *Ceryle rudis* ) is a striking black and white bird commonly found near rivers, lakes, reservoirs, and coastal areas of Sri Lanka.  They are easily recognized by their distinctive black and white plumage, crest, and double band across the chest. Pied Kingfishers are skilled fishers, hovering above the water before plunging in to catch their prey.  They play a vital role in aquatic ecosystems, controlling fish populations and acting as indicators of water quality.  They often perch conspicuously on branches, rocks, or even man-made structures near water. They are not endemic to Sri Lanka but are a widespread resident breeder."
Common Kingfisher,Alcedo atthis,Non-Venomous,Low,May give sharp calls and dive at perceived threats if cornered or defending a nest.  Generally avoids confrontation.,Leave the area calmly and slowly. It's highly unlikely for a kingfisher to attack a human unless defending its nest.,"Bird (While not provided, this is the appropriate category)",No,"Widespread throughout the island, near various water bodies.",None,"The Common Kingfisher ( *Alcedo atthis*) is a vibrant, small bird with a striking blue back, orange underparts, and a large, dagger-like bill.  They are found near a variety of freshwater habitats across Sri Lanka, including rivers, streams, lakes, and even coastal areas.  Kingfishers primarily feed on small fish, which they hunt by diving from perches or hovering above the water. Their presence indicates a healthy aquatic ecosystem, as they are sensitive to pollution and habitat degradation.  They play a role in regulating fish populations and contribute to the overall biodiversity of their environment."
Red-vented Bulbul,Pycnonotus cafer,Non-Venomous,Low,"May become noisy and flutter around perceived threats, potentially pecking if cornered.",Move away slowly.  Their pecks are unlikely to cause serious harm.,"Bird (While not explicitly in the provided list, ""bird"" is the correct category)",No,"Throughout the island, except for the highest altitudes.",None,"The Red-vented Bulbul ( *Pycnonotus cafer*) is a common bird in Sri Lanka, easily identified by its sleek dark brown upperparts, whitish underparts, and distinctive crimson-red patch beneath its tail. Its head is capped with a short crest, giving it a slightly mohawk-like appearance.  This adaptable bird thrives in a variety of habitats, from forests and scrublands to urban gardens and parks. It plays a vital role in seed dispersal and insect control, consuming a diet of fruits, nectar, and insects. Its loud, cheerful calls are a familiar sound in the Sri Lankan landscape."
Rose-ringed Parakeet,Psittacula krameri,Non-Venomous,Low,May become noisy and bite if threatened or cornered.,"Slowly back away and avoid direct eye contact.  Seek medical attention if bitten, as parrot bites can cause infection.",Bird (Psittaciformes),No,"Throughout the island, including urban areas.",None,"The Rose-ringed Parakeet ( *Psittacula krameri* ) is a medium-sized parrot with vibrant green plumage, a distinctive rose-colored ring around its neck (more prominent in males), and a long tail.  They are highly adaptable birds found in a variety of habitats across Sri Lanka, from forests and woodlands to cultivated areas and urban parks.  Rose-ringed Parakeets are primarily herbivores, feeding on fruits, seeds, buds, and flowers, playing a role in seed dispersal. They are known for their loud, raucous calls and often form large, noisy flocks.  Although not native to Sri Lanka, they are a common and widespread species."
Asian Koel,Eudynamys scolopaceus,Non-Venomous,Low,"Becomes noisy, may swoop at perceived threats if nesting.",Move away slowly. Encounters are rare as they are primarily arboreal.,"Bird (While not explicitly listed, it's the appropriate categorization.)",No,"Throughout the island, including urban areas.",None,"The Asian Koel ( *Eudynamys scolopaceus* ) is a member of the cuckoo family, known for its distinct vocalizations and brood parasitic behavior. Males are glossy black with crimson eyes, while females exhibit a mottled brown and white plumage. They inhabit a wide range of wooded habitats, from forests to urban parks, and are primarily frugivores, feeding on fruits, berries, and occasionally insects.  As brood parasites, they lay their eggs in the nests of other birds, particularly crows and other corvids, leaving the host to raise their young. This strategy, while seemingly detrimental to the host species, plays a role in regulating insect populations and seed dispersal within their ecosystem."
